번호,레벨,지역,계획명,링크,분류,상태,비고
1,①국토부,수도권,수도권정비계획 1차(1982-96),텍스트대체,계획,완료,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
2,①국토부,수도권,수도권정비계획 2차(1997-2011),텍스트대체,계획,완료,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
3,①국토부,수도권,수도권정비계획 3차(2006-2020),https://www.molit.go.kr/USR/policyData/m_34681/dtl?id=33,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
4,①국토부,수도권,수도권정비계획 4차(2021-2040),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4787,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
5,①국토부,수도권,제2차대도시권광역교통기본계획(2021-40),https://www.molit.go.kr/mtc/USR/BORD0201/m_36981/DTL.jsp?id=mtc0301&mode=view&idx=109,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
6,①국토부,수도권,제4차대도시권광역교통시행계획(2021-25),http://www.molit.go.kr/mtc/USR/BORD0201/m_36981/DTL.jsp?id=mtc0301&mode=view&idx=112,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
7,①국토부,전국,국토종합계획 2차(1982-91),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4207,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
8,①국토부,전국,국토종합계획 3차(1992-2001),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4207,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
9,①국토부,전국,국토종합계획 4차수정(2006-2020),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=27,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
10,①국토부,전국,국토종합계획 4차원안(2000-2020),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4207,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
11,①국토부,전국,국토종합계획 4차재수정(2011-2020),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=1775,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
12,①국토부,전국,국토종합계획 5차(2020-2040),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4453,계획,완료,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
13,①국토부,전국,제2차국가도로망종합계획(2021-30),https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4579,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
14,②광역,경기도,종합계획 2012-2020(최초),https://memory.library.kr/files/original/b67a5fb78a1a467988b022ecac0ec4d4.pdf,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
15,②광역,경기도,"종합계획 2021-2040(현행,요약본)",https://www.gg.go.kr/cmmn/download.do?idx=594559,계획,확보(요약본가능성),⚠️ 검증 필요: 링크 열어서 페이지 제목에 '요약'이라고 써있으면 본보고서 아님 → 같은 게시글에 다른 첨부파일(본보고서) 있는지 확인
16,②광역,대전,2030년 대전도시기본계획(일부변경),https://files-scs.pstatic.net/2024/05/05/wgmCVKxTxt/2030%20%EB%8C%80%EC%A0%84%EB%8F%84%EC%8B%9C%EA%B8%B0%EB%B3%B8%EA%B3%84%ED%9A%8D.pdf,계획,확보,✅ 정상 다운로드 가능 - 직전판
17,②광역,대전,2040년 대전도시기본계획,https://www.daejeon.go.kr/data/urb/urb010401/2040_basic_plan.pdf,계획,확보,✅ 정상 다운로드 가능(직접 PDF)
18,②광역,부산,2030년 부산도시기본계획(변경),https://www.busan.go.kr/depart/agora0703,계획,확보,✅ 정상 다운로드 가능 - 직전판
19,②광역,부산,2040년 부산도시기본계획,https://www.busan.go.kr/depart/agora0505/1558878,계획,확보,✅ 정상 다운로드 가능
20,②광역,부산·김해·양산,2040 부산권 광역도시계획(수도권정비계획 대응),https://www.kmib.co.kr/article/view.asp?arcid=0924328367,계획,확보(뉴스),"📰 부산+김해+양산 460만명 광역계획, 원문은 부산시 도시계획과 문의 필요"
21,②광역,서울,도시기본계획 1990,텍스트대체,계획,완료,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
22,②광역,서울,도시기본계획 1997,텍스트대체,계획,완료,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
23,②광역,서울,도시기본계획 2006(목표2020),https://opengov.seoul.go.kr/public/90135,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
